Treatment,Site,ID,Status
SD,Coral City,cc_40m_25,H
SD,Coral City,cc_40m_26,H
SD,Coral City,cc_40m_27,H
SD,Coral City,cc_40m_28,H
SD,Coral City,cc_40m_29,H
SD,Coral City,cc_40m_70,H
SD,Coral City,cc_40m_71,H
SD,Coral City,cc_40m_72,H
SD,Coral City,cc_40m_73,H
SD,Coral City,cc_40m_74,H
DD,Coral City,cc_40m_80,H
DD,Coral City,cc_40m_81,H
DD,Coral City,cc_40m_82,H
DD,Coral City,cc_40m_83,H
DD,Coral City,cc_40m_84,H
DD,Coral City,cc_40m_90,D
DD,Coral City,cc_40m_91,H
DD,Coral City,cc_40m_92,H
DD,Coral City,cc_40m_93,H
DD,Coral City,cc_40m_94,H
DS,Marthas Finyard,mf_10m_50,H
DS,Marthas Finyard,mf_10m_51,D
DS,Marthas Finyard,mf_10m_52,D
DS,Marthas Finyard,mf_10m_53,D
DS,Marthas Finyard,mf_10m_54,D
DS,Marthas Finyard,mf_10m_55,D
DS,Marthas Finyard,mf_10m_56,D
SS,Marthas Finyard,mf_10m_60,D
SS,Marthas Finyard,mf_10m_61,H
SS,Marthas Finyard,mf_10m_62,H
SS,Marthas Finyard,mf_10m_63,H
SS,Marthas Finyard,mf_10m_64,H
SS,Marthas Finyard,mf_10m_65,H
SS,Marthas Finyard,mf_10m_66,D
SS,Marthas Finyard,mf_10m_67,H
SS,Marthas Finyard,mf_10m_68,D
SS,Marthas Finyard,mf_10m_69,H
DD,Marthas Finyard,mf_40m_25,D
DD,Marthas Finyard,mf_40m_26,H
DD,Marthas Finyard,mf_40m_27,H
DD,Marthas Finyard,mf_40m_28,H
DD,Marthas Finyard,mf_40m_29,H
DD,Marthas Finyard,mf_40m_30,H
DD,Marthas Finyard,mf_40m_31,H
SD,Marthas Finyard,mf_40m_40,D
SD,Marthas Finyard,mf_40m_41,H
SD,Marthas Finyard,mf_40m_42,H
SD,Marthas Finyard,mf_40m_43,H
SD,Marthas Finyard,mf_40m_44,H
SD,Marthas Finyard,mf_40m_45,H
SD,Marthas Finyard,mf_40m_46,D
SD,Marthas Finyard,mf_40m_47,D
SD,Marthas Finyard,mf_40m_48,H
SD,Marthas Finyard,mf_40m_49,H
SS,Coral City,CC_10M_35,H
SS,Coral City,CC_10M_36,H
SS,Coral City,CC_10M_37,H
SS,Coral City,CC_10M_38,H
SS,Coral City,CC_10M_39,H
SS,Coral City,CC_10M_75,H
SS,Coral City,CC_10M_76,H
SS,Coral City,CC_10M_77,H
SS,Coral City,CC_10M_78,H
SS,Coral City,CC_10M_79,H
DS,Coral City,CC_10M_85,D
DS,Coral City,CC_10M_86,H
DS,Coral City,CC_10M_87,H
DS,Coral City,CC_10M_88,D
DS,Coral City,CC_10M_89,H
DS,Coral City,CC_10M_95,H
DS,Coral City,CC_10M_96,D
DS,Coral City,CC_10M_97,H
DS,Coral City,CC_10M_98,H
DS,Coral City,CC_10M_99,H