sample,coral_vol_um3,total_pore_vol_um3,closed_pore_vol_um3,open_pore_vol_um3,total_vol_pixel,total_vol_um3,coral_to_total_vol_perc,total_porosity_perc,closed_to_all_pores_perc,mean_thickness_um,sd_thickness_um,min_thickness_um,max_thickness_um
40_SD,85585025250,54960508125,31478625,54929029500,41643121,1.40546E+11,60.91727131,39.08272869,-0.020871437,177.36,44.247,30,426.38
63_SS,22334767875,17311957875,205875,17311752000,11747178,39646725750,56.33497679,43.66502321,0.001189207,166.756,47.407,30,417.851
48_SD,90840507750,76454469000,1461375,76453007625,49568882,1.67295E+11,54.30047625,45.69952375,0.001911432,161.984,41.937,30,301.496
30_DD,71680271625,69083661375,5511375,69078150000,41707832,1.40764E+11,50.9262433,49.0737567,0.007977827,150.97,39.616,30,335.41
27_DD,45797305500,32340782250,577125,32340205125,23152026,78138087750,58.61147098,41.38852902,0.001784512,169.238,43.239,30,351.461
27_DD,44153670375,37976688000,3715875,37972972125,24334921,82130358375,53.76499887,46.23500113,0.009784621,152.515,41.07,30,412.431
61_SS,80320305375,55560151125,1350000,55558801125,40260876,1.3588E+11,59.11199995,40.88800005,0.002429799,172.418,43.988,30,328.88
50_DS,1.43358E+11,1.34875E+11,1994625,1.34873E+11,82439401,2.78233E+11,51.5251568,48.4748432,0.001478867,139.62,31.414,30,300
29_DD,72916449750,47912978250,5275125,47907703125,35801312,1.20829E+11,60.35096423,39.64903577,0.011009804,169.513,49.811,30,454.972
52_DS,44335498500,32343674625,81000,32342864625,22719755,76679173125,57.82053548,42.17946452,0.035688769,161.624,39.924,30,339.411
52_DS,51531720750,34503995250,523125,34503472125,25492064,86035716000,59.89633872,40.10366128,0.001516129,172.008,43.022,30,331.36
46_SD,49135963500,37477613250,27752625,37449860625,25663282,86613576750,56.76213588,43.23786412,-0.040549669,153.406,41.863,30,336.749
65_SS,62862459750,36317342250,2602125,36314740125,29386608,99179802000,63.38494392,36.61505608,0.007164965,192.096,49.067,30,474.341
54_DS,43543807875,33843794625,637875,33843156750,22929660,77387602500,56.26798653,43.73201347,0.001884762,158.268,38.408,30,319.14
54_DS,57760914375,46347184125,985500,46346198625,30846844,1.04108E+11,55.48261923,44.51738077,0.002126343,157.374,39.225,30,406.939