slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
120,177.2,179.444,175.12,164.857,162.934,184.942,165.719,177.938,148.426,175.392,184.36,201.495,153.984,156.178,192.136,188.87,185.503,175.349
121,177.762,179.796,175.06,165.184,162.609,185.018,166.432,178.214,148.084,176.168,183.907,200.907,154.851,156.06,193.395,188.825,185.411,175.419
122,178.436,179.656,175.088,165.487,162.453,184.767,166.893,178.417,147.757,176.675,183.472,200.319,155.758,156.209,194.77,188.944,185.635,175.56
123,178.999,179.378,175.14,165.614,162.656,184.927,167.658,178.378,147.58,176.949,183.063,200.007,156.403,156.604,195.595,189.447,186.137,175.772
124,179.432,179.209,174.82,165.457,163.026,185.156,168.161,178.56,147.449,177.366,182.83,199.792,157.288,157.09,196.293,189.881,186.322,176.28
125,180.029,178.811,175.308,165.299,163.668,185.505,167.901,178.726,147.424,177.167,182.716,199.691,158,157.782,196.942,190.24,186.496,176.9
126,180.567,178.685,176.218,165.202,164.342,185.607,167.532,178.696,147.133,176.913,182.299,199.377,158.849,158.511,197.519,191.067,187.204,177.208
127,181.088,178.526,177.042,165.368,164.989,185.347,167.251,178.301,146.788,176.335,181.613,199.019,159.455,159.408,197.937,192.021,187.884,177.145
128,181.519,178.329,177.75,165.719,165.456,185.104,166.893,178.024,146.436,176.035,180.934,198.945,159.666,160.12,197.707,193.327,188.318,177.059
129,181.916,178.546,179.135,166.061,165.429,185.052,166.471,177.687,146.187,175.451,180.343,198.819,159.743,160.654,197.248,194.3,188.32,176.955
130,182.34,179.316,180.262,166.485,165.137,185.351,166.222,177.498,146.059,174.685,179.314,198.905,159.746,160.832,197.009,194.841,188.005,176.503
131,182.587,180.152,181.312,166.931,165.376,185.201,166.083,177.26,145.853,173.96,178.247,198.872,160.143,160.732,196.844,195.014,187.604,175.892
132,182.582,180.977,182.479,167.261,165.579,184.625,165.672,177.096,145.882,173.79,177.227,198.537,161.014,160.455,196.441,195.242,187.034,175.578
133,182.793,181.648,183.274,167.583,165.644,183.884,165.823,176.856,145.906,173.97,176.227,198.132,161.909,160.054,196.114,195.296,186.022,175.627
134,183.295,181.893,183.815,167.797,165.421,183.204,165.88,176.758,146.061,174.118,175.526,197.807,162.506,159.589,195.854,195.24,184.817,176.135
135,183.6,182.023,183.964,168.005,165.215,182.851,166.095,176.92,146.168,174.409,174.925,197.384,163.087,159.276,195.396,194.825,183.744,176.786
136,183.896,182.372,184.309,168.376,165.021,182.336,166.395,177.022,146.188,174.961,174.29,196.837,163.798,159.231,195.049,194.414,182.692,177.461
137,184.303,183.064,184.835,168.682,165.033,182.11,166.835,177.448,146.275,175.87,173.941,196.383,164.373,159.243,195.02,194.554,181.885,177.774
138,184.618,183.781,185.507,169.03,165.032,182.099,167.037,178.072,146.472,176.956,174.263,195.966,164.77,159.511,195.314,194.587,181.469,178.278
139,184.964,183.99,186.242,169.304,165.079,181.864,166.916,178.738,146.838,177.803,174.953,195.443,165.192,159.67,195.835,194.616,181.053,178.421
140,185.242,183.876,187.12,169.814,165.282,181.77,166.561,179.24,147.014,178.261,175.287,194.646,165.573,159.759,196.384,194.534,180.821,178.487
141,185.693,183.442,188.466,170.318,165.345,181.39,166.295,179.678,146.91,178.826,175.409,193.975,165.958,160.027,196.667,194.618,181.083,178.208
142,186.16,183.117,189.568,170.749,165.017,180.91,166.502,180.102,146.895,179.378,175.189,193.282,166.198,160.512,197.007,194.356,181.404,177.72
143,186.445,182.645,190.203,171.299,164.909,180.732,166.343,180.627,147.082,180.221,174.841,192.781,166.34,161.179,197.48,194.154,181.429,177.135
144,186.945,182.518,190.48,171.734,164.73,180.64,166.217,181.01,147.108,180.693,174.304,192.531,166.251,161.31,197.979,193.871,181.235,176.625
145,187.908,182.491,190.592,172.3,164.577,180.824,165.772,181.389,146.873,180.976,173.582,192.191,165.863,161.564,198.487,193.959,180.789,176.289
146,188.861,182.379,190.13,172.764,164.144,181.092,165.464,181.457,146.645,181.115,172.7,191.801,165.513,161.613,199.163,194.229,180.126,176.079
147,189.761,182.295,189.75,173.342,163.577,181.185,165.384,181.54,146.61,180.82,172.078,191.66,165.068,161.84,199.411,194.167,179.783,175.618
148,190.525,182.044,189.679,173.989,163.282,180.85,165.539,181.903,146.487,180.052,171.559,191.565,164.67,162.026,199.752,193.891,179.794,175.186
149,191.07,182.133,189.981,174.541,162.938,180.825,165.783,182.266,146.41,179.125,171.139,191.385,164.441,162.062,199.846,193.783,179.616,174.623
150,191.475,182.746,189.939,175.128,162.753,180.841,166.099,182.714,146.513,178.215,170.397,191.408,164.359,162.108,199.92,193.639,179.117,174.119
151,191.516,183.883,190.486,175.412,162.672,181.091,166.371,183.049,146.889,177.861,169.968,191.392,164.758,162.185,200.012,193.738,178.122,173.532
152,191.416,185.24,191.206,175.614,162.675,181.604,166.525,183.341,147.286,177.962,170.013,191.018,165.643,162.119,200.283,193.989,176.976,173.135
153,191.267,186.601,192.08,175.704,162.714,181.91,166.682,183.473,147.571,178.269,169.873,190.792,166.546,161.864,200.62,194.42,175.995,172.867
154,191.118,187.6,192.638,175.648,162.815,182.286,166.62,183.348,147.707,178.913,169.683,190.686,167.451,161.921,200.759,195.174,175.239,172.758
155,190.713,188.284,193.206,175.244,162.819,182.675,166.562,183.263,147.968,179.246,169.626,190.394,168.481,162.345,200.816,195.43,174.489,172.697
156,190.405,189.399,194.464,174.785,162.631,183.131,166.53,183.042,148.287,179.557,169.617,189.767,169.141,163.073,200.909,195.803,174.108,172.64
157,190.343,190.198,195.846,174.433,162.512,183.486,166.519,182.826,148.753,179.776,169.929,188.947,169.625,163.968,201.104,195.973,173.896,172.597
158,190.569,190.958,196.498,174.318,162.436,183.634,166.631,182.768,148.973,180.22,170.326,188.2,169.679,165.004,201.105,196.113,173.972,172.804
159,190.934,191.81,197.036,174.482,162.372,183.735,166.578,182.786,149.222,180.696,170.282,187.436,169.785,165.848,201.182,196.304,174.43,172.98
160,191.11,193.067,197.19,174.685,162.449,183.752,166.688,182.87,149.546,181.244,169.841,186.451,169.881,166.816,201.593,196.672,174.652,172.944
161,191.407,194.408,197.592,174.831,162.881,183.56,166.753,183.033,149.697,182.054,169.599,185.633,169.961,167.507,202.464,197.01,175.043,172.843
162,191.584,195.974,198.246,174.901,163.139,183.418,166.957,183.338,149.895,182.63,169.305,184.836,170.093,167.966,202.99,197.428,175.35,172.813
163,191.514,197.54,198.732,174.969,163.107,183.444,167.477,183.764,150.119,183.278,169.246,184.181,169.857,168.521,203.014,197.714,175.643,172.838
164,191.336,199.358,199.378,175.098,163.089,183.617,168.044,184.104,150.208,183.401,169.179,183.556,169.346,169.136,202.938,198.025,176.247,172.766
165,191.242,201.323,200.481,175.369,163.53,183.535,168.539,184.457,150.244,183.255,169.182,183.078,168.529,169.603,202.763,198.504,176.637,172.742
166,191.501,203.395,201.323,175.79,164.019,183.382,168.738,184.801,150.214,182.897,169.211,182.64,167.695,169.833,202.587,198.845,176.973,172.319
167,192.075,205.428,202.297,176.433,164.288,183.278,168.657,185.135,150.526,182.813,169.388,182.364,166.951,170.146,202.391,199.048,176.616,171.888
168,192.153,207.001,202.577,177.165,164.414,183.641,168.564,185.477,151.113,182.977,169.581,182.276,166.627,170.441,202.526,199.536,176.153,171.497
169,192.275,208.421,203.178,177.784,164.811,183.957,168.79,185.561,151.503,183.308,170.065,182.516,166.779,170.741,202.992,200.11,175.329,171.01
170,192.325,209.989,204.188,178.363,165.187,184.334,168.76,185.686,151.938,183.622,170.509,182.942,166.897,170.905,203.63,200.208,174.188,170.496
171,192.569,211.646,204.753,178.783,165.594,184.56,169.174,185.541,152.305,183.67,170.749,183.448,167.073,171.033,204.461,200.168,172.835,170.231
172,192.707,213.195,205.185,178.974,166.092,184.517,169.837,185.514,152.63,183.638,171.098,183.607,167.589,171.272,205.409,200.194,171.44,169.837
173,193.237,214.897,205.925,179.073,166.384,184.587,170.549,185.461,153.057,183.526,171.409,183.423,167.946,171.581,206.172,200.045,170.45,169.66
174,193.87,216.868,206.705,179.098,166.654,184.732,170.578,185.443,153.522,183.501,171.93,183.333,168.227,171.801,206.596,199.758,169.924,169.845
175,194.757,219.079,207.056,179.234,166.965,184.808,170.333,185.304,153.966,183.858,172.515,182.925,168.73,171.471,206.868,199.701,169.379,170.161
176,195.4,221.564,206.816,179.503,167.233,185.194,170.03,185.014,154.165,184.679,173.018,182.681,169.223,171.152,206.997,200.167,168.842,170.615
177,195.883,224.041,206.157,179.781,167.285,185.569,169.998,184.95,154.374,185.46,173.487,182.25,169.778,170.525,206.876,200.959,168.642,171.063
178,196.486,226.782,205.998,179.997,166.961,185.827,169.734,185.105,154.527,186.487,174.052,181.892,170.233,170.005,206.605,201.386,168.409,171.459
179,197.133,229.622,206.179,180.317,166.416,185.112,169.704,185.425,154.518,187.472,174.111,181.571,170.612,169.746,205.847,201.681,168.439,171.773
180,197.511,232.697,206.497,180.428,165.917,183.938,169.562,185.632,154.584,188.213,173.844,181.294,170.948,169.793,205.072,201.682,168.174,171.925
181,197.474,235.729,207.234,180.391,165.451,182.967,168.99,185.842,154.518,188.739,173.368,181.216,171.174,169.999,204.205,201.693,167.799,171.854
182,197.223,238.48,207.87,180.242,164.798,182.224,168.732,186.264,154.45,189.366,172.765,181.158,171.399,170.234,203.581,201.879,167.206,171.691
183,196.836,241.037,209.077,179.967,164.192,181.526,168.849,186.776,154.397,190.21,172.721,181.262,171.681,170.468,203.482,201.976,166.964,171.618
184,196.472,242.953,209.278,179.713,163.784,180.7,168.969,187.286,154.319,190.661,173.077,181.447,171.698,170.979,203.575,202.05,166.688,171.297
185,196.648,244.675,210.258,179.483,163.57,179.738,169.451,188.081,154.413,191.085,173.5,181.497,171.31,171.12,203.535,202.039,166.64,170.828
186,197.22,246.571,211.184,179.24,163.531,179.227,169.523,188.835,154.567,191.209,173.999,181.137,170.834,171.236,203.582,202.163,166.936,170.164
187,197.945,248.27,211.822,179.432,163.409,178.851,169.552,189.461,154.797,191.094,174.67,180.968,170.365,171.327,203.856,202.119,167.143,169.604
188,198.426,249.903,212.146,179.85,163.426,179.028,169.864,190.028,154.891,190.721,174.901,181.185,170.17,171.455,204.403,202.421,167.25,169.351
189,198.64,251.087,212.847,180.334,163.959,179.601,170.081,190.363,154.803,189.99,174.463,181.283,170.51,171.601,204.932,202.553,167.236,169.4
190,198.667,252.08,213.575,180.92,164.084,180.004,169.728,190.499,154.642,188.958,174.393,181.362,171.121,171.771,205.62,202.833,167.011,169.505
191,198.345,253.065,214.077,181.507,164.157,180.107,169.294,190.575,154.761,187.932,174.68,181.215,171.451,172.075,206.216,203.321,166.966,169.78
192,198.079,254.102,214.052,182.161,164.375,180.5,168.964,190.416,154.671,187.198,174.762,180.858,171.804,172.515,206.593,203.833,167.174,170.198
193,197.944,255.021,213.624,182.531,164.912,180.793,168.492,190.243,154.451,186.437,174.677,180.821,172.248,172.866,206.782,204.087,167.268,170.467
194,197.555,255.43,213.075,182.678,165.242,181.314,167.974,190.317,154.236,186.086,174.719,180.683,172.394,173.376,206.645,204.023,167.501,170.515
195,196.849,255.233,212.256,182.875,165.495,181.676,168.228,190.421,154.122,186.006,174.799,180.123,172.779,173.8,206.204,203.995,167.81,170.749
196,196.404,254.955,211.737,183.097,165.604,181.879,168.47,190.427,153.809,186.055,175.112,179.673,173.184,174.164,205.782,203.926,167.584,170.909
197,196.375,254.554,211.326,182.946,165.639,181.99,168.232,190.496,153.556,186.08,175.482,179.343,173.708,174.318,205.728,204.171,167.213,170.802
198,196.989,253.972,210.996,182.633,165.834,182.157,168.136,190.349,153.414,186.071,175.536,178.986,174.195,174.357,205.77,204.142,167.154,171.18
199,197.403,253.261,210.527,182.411,166.022,182.428,168.283,190.123,153.472,185.935,175.829,178.349,174.277,174.319,205.57,204.071,167.201,171.594
200,197.808,252.605,210.274,182.258,166.128,183.142,168.399,189.67,153.526,185.817,175.862,177.771,174.141,174.157,205.787,204.023,166.919,171.749
201,198.246,251.821,210.585,181.919,165.927,183.532,168.429,189.323,153.475,185.579,176.078,177.25,174.011,173.761,206.279,203.804,166.837,171.882
202,198.713,251.028,210.98,181.371,165.847,183.495,168.675,188.873,153.52,185.197,176.023,176.992,173.615,173.435,207.145,203.717,166.476,172.227
203,199.039,250.104,211.229,180.857,165.543,183.695,169.738,188.625,153.362,184.713,176.134,176.776,173.376,173.04,208.33,203.533,166.052,172.445
204,199.003,248.96,211.86,180.746,165.353,183.739,170.966,188.598,153.123,184.196,176.189,177.032,173.316,172.938,209.616,203.7,165.547,172.688
205,199.085,247.85,212.053,180.753,165.418,183.359,171.836,188.709,152.92,183.567,176.138,177.249,173.59,172.914,210.701,203.912,165.011,173.153
206,199.187,246.868,212.167,180.972,165.241,183.094,172.435,188.944,152.99,182.602,176.032,177.73,173.805,172.928,211.491,204.217,164.782,173.661
207,199.459,245.747,212.118,181.077,164.838,182.611,172.702,189.292,153.213,181.838,175.972,178.271,174.012,172.763,211.996,204.511,164.65,173.907
208,200.022,244.385,211.872,181.201,164.282,182.266,172.829,189.644,153.073,181.526,175.445,178.644,174.093,172.909,212.026,204.449,164.478,174.011
209,200.187,242.562,212.202,181.2,163.554,182.221,173.133,190.032,152.929,181.458,175.094,178.842,174.243,173.101,211.955,204.551,164.399,173.861
210,200.192,240.405,212.221,180.888,163.042,182.605,172.952,190.379,152.974,181.156,175.225,178.769,174.689,173.189,211.78,204.947,164.642,173.547
211,200.237,238.11,212.033,180.74,162.695,183,172.444,190.646,152.919,180.905,175.107,178.551,175.391,172.869,211.704,205.427,164.895,173.295
212,200.301,235.539,211.129,180.972,162.176,183.617,172.281,190.965,152.523,181.081,174.968,178.361,176.001,172.769,211.34,205.579,165.263,173.107
213,200.147,233.154,209.985,181.265,162.276,183.835,172.368,191.346,152.186,181.087,175.061,178.165,176.559,172.913,210.73,205.181,165.742,172.792
214,200.106,230.886,208.318,181.709,162.426,183.671,172.353,191.896,151.783,181.057,175.41,177.971,177.099,173.283,210.161,204.382,166.411,172.047
215,199.57,228.571,206.865,182.001,162.139,183.486,172.555,192.254,151.406,181.299,175.666,178.029,177.603,173.408,210.141,203.836,166.733,171
216,199.102,226.059,205.836,182.197,161.63,183.275,172.725,192.307,151.073,181.747,175.836,177.809,178.294,173.43,210.566,203.545,166.528,169.853
217,198.879,223.529,204.949,182.422,161.481,183.152,172.727,192.306,150.667,182.402,176.116,177.917,178.934,173.419,211.112,203.618,166.211,168.799
218,198.836,220.48,204.446,182.626,161.535,183.135,173.233,192.176,150.203,182.531,176.271,178.133,179.305,173.523,211.419,203.801,165.778,168.256
219,198.737,217.005,204.312,182.655,161.523,183.564,174.125,191.971,149.975,182.439,176.351,178.031,179.45,173.995,211.637,204.183,165.069,168.097
220,198.636,213.421,203.861,182.477,161.178,183.842,174.85,191.983,149.91,182.262,176.43,178.362,179.208,174.445,211.878,204.299,164.489,168.019
221,198.428,210.046,203.487,182.335,161.409,183.981,175.488,192.02,149.778,181.973,176.686,178.938,179.195,174.781,212.14,204.508,163.864,167.756
222,198.285,206.688,203.389,182.031,161.978,184.139,176.544,191.883,149.803,181.711,176.652,179.346,179.344,174.956,212.393,204.706,163.303,167.572
223,197.908,203.362,203.25,181.699,162.27,184.011,177.491,192.02,149.838,181.161,176.677,180.196,179.62,174.89,212.805,205.124,163.254,167.451
224,197.75,200.089,203.595,181.16,162.39,184.019,177.703,192.328,149.912,181.088,176.302,180.823,179.83,175.355,213.317,205.655,163.384,167.237
225,198.129,196.833,204.128,180.532,162.357,183.982,177.566,192.75,150.144,180.861,175.838,181.325,180.354,175.692,213.606,206.396,163.648,166.693
226,198.854,193.777,204.561,180.037,161.843,184.436,177.058,193.588,150.39,180.458,175.623,181.503,181.064,175.563,213.464,207.023,164.155,166.12
227,199.6,190.867,204.466,179.777,161.324,185.423,176.296,194.419,150.419,180.011,175.412,181.838,181.695,175.768,213.292,207.632,164.764,165.931
228,200.526,188.11,203.999,180.023,161.182,186.258,175.591,195.149,150.395,180.279,174.936,181.887,182.465,176.274,213.035,208.417,165.337,165.862
229,201.147,185.516,203.394,180.513,161.31,187.086,174.646,196.021,150.219,180.699,174.579,182.001,183.145,176.796,212.662,209.489,165.672,165.804
230,201.711,183.139,203.197,180.923,161.251,187.771,173.753,196.826,150.025,181.032,174.421,181.861,183.457,176.767,212.179,210.225,165.868,165.832
231,201.951,180.901,202.948,181.439,160.867,188.191,172.863,197.625,149.782,181.328,174.372,181.766,183.811,176.868,211.955,210.709,165.687,165.977
232,201.966,178.948,201.886,182.032,160.243,188.429,172.618,198.016,149.192,181.728,174.452,181.76,183.951,177.006,211.855,211.224,165.369,166.278
233,202.082,176.77,200.632,182.608,159.522,188.675,172.647,198.307,148.763,182.337,174.274,181.686,184.086,176.876,211.767,211.671,165.067,166.699
234,202.009,174.709,199.261,183.032,159.51,188.59,172.537,198.39,148.653,182.743,174.058,181.689,184.465,176.823,211.726,211.745,165.036,166.943
235,202.088,173.021,198.362,183.208,159.668,188.302,172.781,198.566,148.55,183.003,173.954,181.774,184.773,176.673,211.794,211.531,164.874,167.462
236,201.911,171.432,197.529,183.266,160.042,188.174,172.992,198.645,148.339,183.665,174.363,181.835,184.621,176.269,212.347,211.124,164.621,168.28
237,201.758,169.551,196.494,183.134,160.607,187.959,173.527,198.95,148.17,184.527,174.957,182.188,184.584,175.785,212.989,210.775,164.291,168.821
238,201.569,167.684,195.559,182.952,161.007,187.371,174.015,199.173,148.103,185.212,175.605,182.393,184.745,175.267,213.558,210.481,164.439,169.226
